LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,05;145;1;0,0757592867985722;31,8150276209741%;0,222276003971971;0,0101034547259987;
0,2;0,1;101;1;0,0802609745430901;34,1800563889989%;0,248138183427082;0,0112790083375946;
0,01;0,01;1006;2;0,0635176761054971;25,4604333484258%;0,180732829549366;0,00821512861588025;
0,3;0,15;223;1;0,0831130869993133;31,6341229411778%;0,312904383181983;0,0142229265082719;
0,05;0,015;294;1;0,0713813736621361;28,8536096103416%;0,203076546755864;0,00923075212526656;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0697874380760729;26,8541376124421%;0,225794299507592;0,0102633772503451;
;;;1;0,0712051102195157;29,5107269115753%;0,217022852708985;0,00986467512313567;
;;;1;0,0665188822220548;26,3001406853883%;0,189815017578135;0,00862795534446068;
;;;1;0,0742826835270815;28,5502855583368%;0,236071627031666;0,0107305285014393;
;;;1;0,0702041575736495;25,6530748099533%;0,232890559787587;0,0105859345357994;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,05;687;2;0,0505876611316125;41,5688474887345%;0,124183660214012;0,00517431917558385;
0,2;0,1;284;1;0,0538705356904332;44,3361665313827%;0,135329863501395;0,00563874431255812;
0,01;0,01;1548;4;0,0552593409916815;46,9560558232773%;0,152842389589329;0,00636843289955538;
0,3;0,15;386;1;0,0517005763015184;43,2364237202491%;0,126664475236157;0,00527768646817322;
0,05;0,015;373;1;0,054044234331098;44,0673909275399%;0,145617940472709;0,00606741418636287;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0523878265037864;33,8069173068085%;0,135754273664198;0,00565642806934159;
;;;1;0,055100975871332;35,5089284280454%;0,156251748306284;0,00651048951276182;
;;;1;0,0586634600296164;36,467993914124%;0,169431796881312;0,00705965820338801;
;;;1;0,0547842734369762;36,7806086810484%;0,15208685189572;0,00633695216232167;
;;;1;0,055407135946514;33,2434153293313%;0,162951135194794;0,00678963063311644;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,05;352;1;0,0559579337892775;7,44054693132757%;0,17833866573592;0,00481996393880864;
0,2;0,1;2763;8;0,0496880721958558;6,72071271821125%;0,169259681634745;0,00457458599012825;
0,01;0,01;1319;4;0,0580083627910191;7,39069528090739%;0,21930428267848;0,00592714277509407;
