LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;443;1;0,0713256267397515;27,0260082875927%;0,230145556060292;0,0104611616391042;
0,2;0,2;221;1;0,0738822984410812;30,9621542877176%;0,231057497566297;0,0105026135257408;
0,01;0,3;677;2;0,0641150045222406;23,5701011702638%;0,186392750898141;0,00847239776809732;
0,3;0,25;143;1;0,0799364479557288;33,4139212573968%;0,269665979893061;0,0122575445405937;
0,05;0,15;196;1;0,0711185742357889;28,0553003635255%;0,207376799276884;0,00942621814894926;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0733559989604271;25,7877201319897%;0,231597147989515;0,0105271430904325;
;;;1;0,0709287954854588;27,2146302982756%;0,203324739576131;0,00924203361709688;
;;;1;0,0625124573998461;22,2086504126539%;0,176988249934994;0,00804492045159064;
;;;1;0,0674027638100216;24,1658942091096%;0,197628297851673;0,0089831044478033;
;;;1;0,060580093175063;24,5408778634773%;0,16792478685921;0,0076329448572368;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;188;1;0,0538059138899396;32,5576711995315%;0,142622752911563;0,00594261470464846;
0,2;0,2;813;2;0,0430102008817337;26,9437781560894%;0,102144858187699;0,0042560357578208;
0,01;0,3;1109;2;0,0546132806953746;30,8729534887385%;0,152741873356928;0,00636424472320533;
0,3;0,25;737;2;0,0429404718334566;25,3649229099139%;0,110255284448414;0,00459397018535057;
0,05;0,15;372;1;0,0529414212101621;30,3736861344137%;0,143114456343132;0,00596310234763051;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0532285464232907;26,2850290793099%;0,148812011308632;0,00620050047119299;
;;;1;0,0454972731449839;22,1985630690353%;0,113363648355849;0,00472348534816039;
;;;1;0,0541914172998594;26,6892739621293%;0,142990408428658;0,00595793368452743;
;;;1;0,0459005424440089;24,0648799088805%;0,13223056476962;0,00550960686540082;
;;;1;0,0601908006249291;28,6878581356076%;0,178841040754513;0,00745171003143804;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;330;1;0,0543784094863439;7,20346892426165%;0,171828894162538;0,00464402416655509;
0,2;0,2;1064;3;0,0570581090576272;7,9184518587656%;0,190147197871445;0,00513911345598501;
0,01;0,3;1159;4;0,057837886477439;7,40194406747739%;0,21038679210387;0,00568612951632081;
0,3;0,25;2393;7;0,0500097517200537;6,7861575625248%;0,170248811223811;0,00460131922226516;
0,05;0,15;424;2;0,0550487084932006;7,17040627937683%;0,182540252721232;0,00493352034381707;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0541500527000218;6,94988948889424%;0,187211172515939;0,00505976141934969;
;;;1;0,0525501508891737;6,78990204792956%;0,179426435019204;0,00484936310862713;
;;;1;0,0535649272743322;6,99679234681021%;0,18406030977563;0,00497460296690892;
;;;1;0,0480652138556806;6,37407854860556%;0,181918160723689;0,00491670704658619;
;;;1;0,0533921221687106;6,9138504277137%;0,182241571449045;0,00492544787700121;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;672;1;0,0588384629436446;24,1573807849581%;0,233624847412093;0,0111249927339092;
0,2;0,2;235;1;0,0618959301545002;29,064911284602%;0,22038784082628;0,0104946590869657;
0,01;0,3;811;2;0,0838077419634477;38,635145255385%;0,353006894099077;0,016809852099956;
0,3;0,25;356;1;0,065209319358226;35,9743447266952%;0,201174863079223;0,00957975538472493;
0,05;0,15;1238;2;0,0591353562508483;23,7337838180843%;0,244676004271368;0,0116512382986366;

;;;Time;MAE;MAPE;SSE;MSE
