Id,date,Ttb,Tx,Tn,Utb,Un,RRR,Bh,Sh,RunOff,Thang
10217,1990-01-01 00:00:00.000,"21,8","29,1","16,8",74,46,0,"5,8","10,4",108,NULL
10218,1990-01-02 00:00:00.000,22,"29,1","17,2",76,51,0,"5,6","10,7",106,NULL
10219,1990-01-03 00:00:00.000,"21,3",27,"18,4",78,59,0,"5,5","11,3",104,NULL
10220,1990-01-04 00:00:00.000,"21,6","27,8","18,6",78,52,0,"6,1","9,8",106,NULL
10221,1990-01-05 00:00:00.000,"21,6","27,8","18,5",73,49,0,"5,6","9,2",102,NULL
10222,1990-01-06 00:00:00.000,"20,6","26,9","17,4",77,54,0,5,"6,8",100,NULL
10223,1990-01-07 00:00:00.000,"21,3","28,4","17,8",75,54,0,"5,6","10,4","96,2",NULL
10224,1990-01-08 00:00:00.000,"21,8","28,4","18,2",74,55,0,"5,6","10,6","96,2",NULL
10225,1990-01-09 00:00:00.000,"22,8","30,5",18,75,50,0,5,"10,4","96,2",NULL
10226,1990-01-10 00:00:00.000,"23,4","30,9","19,2",74,47,0,7,11,"94,4",NULL
10227,1990-01-11 00:00:00.000,"22,6",30,"19,5",76,50,0,"6,3","10,7","92,5",NULL
10228,1990-01-12 00:00:00.000,"22,4","28,6","19,9",78,57,0,"6,8","10,8","96,2",NULL
10229,1990-01-13 00:00:00.000,"23,1","30,2","19,7",76,47,0,"6,5","10,3","94,4",NULL
10230,1990-01-14 00:00:00.000,"23,5","29,7","20,2",78,56,0,"6,6","10,7","92,5",NULL
10231,1990-01-15 00:00:00.000,"23,3","32,2","18,9",75,42,0,6,"10,8","92,5",NULL
10232,1990-01-16 00:00:00.000,"22,3","29,5","17,2",76,53,0,7,"10,1","88,8",NULL
10233,1990-01-17 00:00:00.000,"22,8","30,2","19,1",76,46,0,"5,8","10,5","88,8",NULL
10234,1990-01-18 00:00:00.000,"22,7","31,4","17,4",76,46,0,5,10,"85,3",NULL
10235,1990-01-19 00:00:00.000,"22,8","31,9","18,2",74,35,0,6,"10,2","85,3",NULL
10236,1990-01-20 00:00:00.000,"22,3","29,6",19,76,50,0,5,"10,1","81,7",NULL
10237,1990-01-21 00:00:00.000,"22,2","28,9",19,73,48,0,"6,4","10,6","81,7",NULL
10238,1990-01-22 00:00:00.000,22,"28,8","18,9",73,48,0,"6,7","10,6","81,7",NULL
10239,1990-01-23 00:00:00.000,21,"27,5","17,6",76,48,0,"5,2","9,9","78,3",NULL
10240,1990-01-24 00:00:00.000,"20,1","26,4","16,3",77,54,0,6,"9,7",80,NULL
10241,1990-01-25 00:00:00.000,"19,9","26,7","15,7",76,52,0,"5,5","10,5","78,3",NULL
10242,1990-01-26 00:00:00.000,"20,5","28,7","16,2",75,48,0,"4,1","9,1","74,9",NULL
10243,1990-01-27 00:00:00.000,"21,2",29,"18,1",75,48,0,"4,5","10,5","76,6",NULL
10244,1990-01-28 00:00:00.000,"20,8","28,8","16,3",70,46,0,"6,7","9,8","78,3",NULL
10245,1990-01-29 00:00:00.000,"20,9",0,"15,7",68,35,0,"6,8",11,"78,3",NULL
10246,1990-01-30 00:00:00.000,"21,7","31,7","15,9",68,35,0,"7,2","10,4","78,3",NULL
10247,1990-01-31 00:00:00.000,"21,7","30,2","16,7",68,35,0,"6,3","9,8","76,6",NULL
