LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;315;1;0,0563596591710442;7,53527625387109%;0,182292610527519;0,00492682731155456;
0,2;0,2;2459;7;0,0501618941332804;6,81922442034757%;0,174006180796126;0,00470286975124665;
0,01;0,3;974;3;0,0589079048066816;7,61896199792534%;0,220028486640042;0,00594671585513628;
0,3;0,25;1944;6;0,0512861082029377;7,00426110195227%;0,178280737138178;0,00481839830103184;
0,05;0,15;429;2;0,058306241775475;7,63265883530969%;0,192074935524983;0,00519121447364818;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0563699898308995;7,36143251810413%;0,196223743200463;0,00530334441082334;
;;;1;0,0486016023992727;6,50725855962441%;0,19136737870297;0,00517209131629649;
;;;1;0,0541214430585081;7,06027208430459%;0,194328618619385;0,00525212482755094;
;;;1;0,0508699110647688;6,74519947624099%;0,201171820432173;0,00543707622789656;
;;;1;0,0559999407710431;7,27578465201033%;0,195597638493675;0,00528642266199122;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;518;1;0,0556152643744996;29,4127455000811%;0,232631399553783;0,0110776856930373;
0,2;0,2;397;1;0,0634585784260138;40,4333873134566%;0,209529234728581;0,00997758260612292;
0,01;0,3;889;2;0,080160430413248;47,8892435349924%;0,346200434477619;0,0164857349751247;
0,3;0,25;264;1;0,0709423825390298;40,7090418145806%;0,233859549516491;0,0111361690245948;
0,05;0,15;1051;2;0,0574980842896941;28,0917327832084%;0,249224589397277;0,0118678375903465;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0629260429437029;25,8957265338824%;0,304094668247317;0,0144806984879675;
;;;1;0,0761976313648127;31,9059162823057%;0,314179020392144;0,0149609057329592;
;;;1;0,0735574250194116;28,842411181664%;0,331227099958868;0,0157727190456604;
;;;1;0,0829495613700257;31,018107891906%;0,373134996473549;0,0177683331654071;
;;;1;0,0698662115212678;25,2751460687031%;0,318764720034111;0,0151792723825767;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;547;1;0,0671164340683708;61,8110557981082%;0,175441389219335;0,00835435186758738;
0,2;0,2;495;1;0,0573558721961607;50,5531985383336%;0,135202839884258;0,00643823047067894;
0,01;0,3;842;2;0,0769338978104673;84,1469490153977%;0,25636496477833;0,0122078554656348;
0,3;0,25;306;1;0,0632129470535727;58,8052259604722%;0,163682211201424;0,00779439100959164;
0,05;0,15;769;2;0,0654940338263839;59,9258650389054%;0,1764691008569;0,00840329051699524;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0582638835901515;41,9385352360635%;0,16357420822096;0,00778924801052191;
;;;1;0,048272977784905;35,7455434778083%;0,114905926197132;0,00547171077129201;
;;;1;0,0559215364014496;32,5105177943531%;0,204160594045494;0,00972193304978541;
;;;1;0,0484668317383228;35,9456652277901%;0,112875747200277;0,00537503558096557;
;;;1;0,0572007088248281;46,8625348201373%;0,158178483899556;0,00753230875712173;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;295;1;0,122928158460079;128,869058125565%;0,46378371148963;0,0193243213120679;
0,2;0,2;153;1;0,122828568248498;124,709097515233%;0,462798465307292;0,0192832693878038;
0,01;0,3;101;1;0,139613602593383;159,67639050236%;0,589394263370546;0,0245580943071061;
0,3;0,25;232;1;0,117127677254346;113,541093305709%;0,438227291418838;0,0182594704757849;
0,05;0,15;487;1;0,123424122696136;132,064095109958%;0,469085879574851;0,0195452449822855;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,102318430020755;78,516177593051%;0,41553815809834;0,0173140899207642;
;;;1;0,105698418213627;84,2555966920017%;0,431615769413159;0,017983990392215;
;;;1;0,114590806691069;97,9503254020622%;0,449368441231711;0,0187236850513213;
;;;1;0,0949067097315392;73,8949766594928%;0,357880836942731;0,0149117015392805;
;;;1;0,107274824023318;85,6751360397307%;0,4335615408662;0,0180650642027583;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;115;9;0,0439394631979151;47,5496848953838%;2,0733255168982;0,00518331379224551;
0,2;0,2;101;8;0,0540226175834219;62,0678052379443%;2,44893274579031;0,00612233186447579;
0,01;0,3;331;23;0,0421718223612515;43,5724196427217%;2,00823209750408;0,0050205802437602;
0,3;0,25;385;27;0,0598197119149293;69,0891455486263%;2,75636600106147;0,00689091500265366;
0,05;0,15;146;11;0,0427750507184952;45,3928127219176%;2,01857625339752;0,0050464406334938;

;;;Time;MAE;MAPE;SSE;MSE
;;;15;0,0415543878587137;40,1493236975162%;2,2426538030012;0,005606634507503;
;;;15;0,0416937357858354;40,4625982576062%;2,20184370137526;0,00550460925343815;
;;;15;0,0412338936248057;39,8818838040183%;2,19034635376064;0,0054758658844016;
;;;15;0,0422786123803536;42,2453987752355%;2,16150771664276;0,00540376929160689;
;;;15;0,0418857234902173;39,5121944719768%;2,15027342427274;0,00537568356068185;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;101;8;0,0460067649594304;50,6385154225636%;2,530323960433;0,00632580990108249;
0,2;0,2;153;11;0,0555454888318081;64,3484768770447%;2,90549733836968;0,00726374334592421;
0,01;0,3;327;25;0,045266844720501;47,0498212607847%;2,44889628985539;0,00612224072463848;
0,3;0,25;374;27;0,0528800583850378;61,004339589368%;2,82378077146257;0,00705945192865643;
0,05;0,15;146;11;0,0448618290060933;47,8057711406597%;2,47437220515546;0,00618593051288865;

;;;Time;MAE;MAPE;SSE;MSE
;;;15;0,0415579072226531;43,8814859301993%;2,750268586975;0,00687567146743749;
;;;15;0,0413131399339126;44,7011558463865%;2,87342840707713;0,00718357101769282;
;;;15;0,0425196486318704;43,6134839493027%;2,64068584405813;0,00660171461014532;
;;;16;0,0434494937212442;46,7906791646861%;3,17230840488301;0,00793077101220754;
;;;15;0,0412921352739141;43,5127940341136%;2,85218059950803;0,00713045149877009;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;127;9;0,154388610641756;93,8334067803094%;17,1075565421402;0,0427688913553505;
0,2;0,2;132;10;0,156326690606701;95,6932932430823%;17,3032037787847;0,0432580094469617;
0,01;0,3;185;13;0,152285296206592;102,169897205801%;16,5573373541689;0,0413933433854223;
0,3;0,25;137;10;0,157713095142706;92,5207576071661%;17,4533258141493;0,0436333145353733;
0,05;0,15;101;8;0,153022782633929;97,0159358783223%;16,7369930409866;0,0418424826024664;

;;;Time;MAE;MAPE;SSE;MSE
;;;15;0,160468585876096;110,156082536073%;20,3574623239162;0,0508936558097906;
;;;15;0,164005896214754;117,251080169593%;22,1830320385342;0,0554575800963355;
;;;15;0,157424237161932;105,952370749234%;19,9902299260796;0,049975574815199;
;;;16;0,165315754903515;115,126805663868%;22,1233233571782;0,0553083083929456;
;;;15;0,159379972955887;108,898211425617%;20,6012036693906;0,0515030091734765;

