LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;623;1;0,0676008590648074;21,0117789226666%;0,181029972849455;0,00822863512952068;
0,2;0,2;312;1;0,072795342035496;22,3398812567771%;0,204123205712927;0,00927832753240579;
0,01;0,3;485;1;0,0694804391442061;21,0831620626304%;0,19771024236694;0,00898682919849728;
0,3;0,25;135;1;0,0795065416810255;24,1764686600985%;0,244212682866473;0,0111005764939306;
0,05;0,15;625;1;0,0645869873973627;18,4078223556022%;0,176094868033261;0,00800431218333003;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0618197962368944;16,4619830559729%;0,164666966637409;0,00748486211988225;
;;;1;0,0609781197893796;16,2031234479856%;0,157591605034276;0,00716325477428525;
;;;1;0,0571109703238493;15,2109852452003%;0,151018932469208;0,00686449693041856;
;;;1;0,0669279467584047;17,3118700199718%;0,195940307974501;0,0089063776352046;
;;;1;0,0654343737527932;16,9038838019142%;0,19291943784419;0,0087690653565541;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;171;1;0,0498885936029699;19,7989215218388%;0,124020061251945;0,00516750255216438;
0,2;0,2;910;2;0,039255711257136;15,5491795611702%;0,0944098515399358;0,00393374381416399;
0,01;0,3;1118;2;0,0508708902493261;19,0666082224957%;0,136162231332387;0,00567342630551615;
0,3;0,25;626;2;0,0398618656019359;15,9497057396255%;0,0933726827784352;0,00389052844910147;
0,05;0,15;294;1;0,0508165042815476;19,8386839717921%;0,129551319161712;0,00539797163173799;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0568218136789317;19,4943542875713%;0,155429628092014;0,00647623450383392;
;;;1;0,0437420372840504;15,8985529638205%;0,105099645875941;0,00437915191149756;
;;;1;0,0489915578934395;16,5503296896302%;0,124522210544663;0,00518842543936096;
;;;1;0,041362558936819;14,7280052416297%;0,108304401357952;0,00451268338991466;
;;;1;0,0580040163836212;19,9686956417034%;0,161174914195225;0,00671562142480104;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;101;1;0,0030058670162155;2,76676192009061%;0,000381486086379979;1,03104347670265E-05;
0,2;0,2;101;1;0,00278888979787738;2,56600435316019%;0,000337749493455907;9,12836468799748E-06;
0,01;0,3;101;1;0,00327709091091189;3,01710906664374%;0,000447133214520514;1,20846814735274E-05;
0,3;0,25;101;1;0,0021829225558541;2,00669798987795%;0,000221203152882042;5,97846359140655E-06;
0,05;0,15;101;1;0,00313429103151369;2,88534385599507%;0,000411415186103359;1,11193293541449E-05;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,00323409596262261;2,97770580755198%;0,000433595942028716;1,17188092440193E-05;
;;;1;0,00348681035614591;3,21086701651385%;0,000499890993616069;1,35105673950289E-05;
;;;1;0,00345457025413968;3,18110722324578%;0,000491241193259338;1,32767890070091E-05;
;;;1;0,00330245019019025;3,04074144077839%;0,000451272872672774;1,21965641262912E-05;
;;;1;0,00327938770399458;3,01948155066104%;0,000445202770913077;1,2032507321975E-05;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;562;1;0,05420022823171;14,471560223425%;0,201257269280482;0,00958367948954674;
0,2;0,2;282;1;0,0622247634361626;20,2759940971298%;0,195651058580714;0,0093167170752721;
0,01;0,3;711;2;0,0934422989914669;29,1968874928519%;0,376125692743902;0,0179107472735191;
0,3;0,25;173;1;0,068468323089778;23,5822886838279%;0,202923774411711;0,00966303687674815;
0,05;0,15;799;2;0,0575173550500776;15,8211035068715%;0,227312240864128;0,0108243924221013;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0661053906272941;14,5123952493939%;0,268778719875035;0,012798986660716;
;;;1;0,0663485036901831;15,5717261714219%;0,280830567933712;0,0133728841873196;
;;;1;0,0758972364396901;17,4453319812342%;0,370553310323642;0,0176453957296972;
;;;1;0,0652573106627518;15,9380596134337%;0,265228256281784;0,0126299169657992;
;;;1;0,0607508757541257;14,8329226895784%;0,263724151801278;0,012558292942918;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;552;1;0,0653818856902323;26,5194265483892%;0,166855205325081;0,00794548596786102;
