LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;101;1;0,0669443629791064;25,9179818523841%;0,188045987624992;0,0085475448920451;
0,2;0,2;159;1;0,0686921965055287;27,6612982146917%;0,192729923077102;0,00876045104895919;
0,01;0,3;570;1;0,0648170698798835;23,4005409327151%;0,17605776083477;0,00800262549248956;
0,3;0,25;136;1;0,0748541756476438;30,0319078536392%;0,223170493713882;0,010144113350631;
0,05;0,15;643;2;0,0655940301466277;25,7015830883285%;0,179986107589628;0,00818118670861945;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0578753874307147;18,9432401675978%;0,153207360714199;0,00696397094155451;
;;;1;0,0660341712150217;20,6467790844414%;0,192636547993336;0,00875620672696982;
;;;1;0,0630706134617518;20,1079518381392%;0,187347544697639;0,00851579748625633;
;;;1;0,0678866301651549;20,8176457989808%;0,204782828633475;0,00930831039243069;
;;;1;0,0676435950321702;21,7026609966676%;0,2032840006901;0,00924018184955002;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;186;1;0,0506920053748231;26,7959644667466%;0,125416827283353;0,00522570113680636;
0,2;0,2;101;1;0,0506763592474813;28,1642645295147%;0,123242757866716;0,00513511491111315;
0,01;0,3;1172;3;0,05250411395582;26,3099187312851%;0,142838863062485;0,00595161929427022;
0,3;0,25;520;1;0,0375681334894864;20,0452662885062%;0,0869614680701518;0,00362339450292299;
0,05;0,15;330;1;0,0511321388122424;27,1389834137859%;0,126492235309397;0,00527050980455819;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0558457724479788;24,0557560224045%;0,15736615330835;0,00655692305451457;
;;;1;0,0553289110044853;24,4774475221996%;0,153108053464707;0,00637950222769615;
;;;1;0,0548007546091894;24,596302602151%;0,153211768200107;0,00638382367500445;
;;;1;0,0411693177834502;18,5776850470713%;0,101245470638819;0,00421856127661744;
;;;1;0,0523490522958172;21,9243923602902%;0,137678932852773;0,00573662220219888;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;101;1;0,00317310894315382;5,40405207834878%;0,000421451651665046;1,13905851801364E-05;
0,2;0,2;101;1;0,00311296142533418;5,30107227001738%;0,000406976275299785;1,09993587918861E-05;
0,01;0,3;101;1;0,00292648411000239;4,98101225048165%;0,000366011658766231;9,89220699368191E-06;
0,3;0,25;101;1;0,00306100909754749;5,21198084437558%;0,000395132775373724;1,06792641992898E-05;
0,05;0,15;101;1;0,00317643961788209;5,40989493799623%;0,000421910423345777;1,14029844147507E-05;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,00327049039542717;5,57107278293285%;0,000444584051902813;1,20157851865625E-05;
;;;1;0,00327221301843913;5,57424962698922%;0,000444432947399669;1,20117012810721E-05;
;;;1;0,00320830184573475;5,46479732867289%;0,000428660209394458;1,15854110647151E-05;
;;;1;0,00325214173053668;5,53998493114899%;0,000439166673468626;1,18693695532061E-05;
;;;1;0,00321280691851347;5,47253972811208%;0,000429685735309759;1,16131279813448E-05;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;483;2;0,055362186366812;20,1704210278784%;0,209371860588223;0,00997008859943919;
0,2;0,2;204;1;0,0632427779496638;24,7186564024385%;0,212021351295506;0,0100962548235955;
0,01;0,3;944;2;0,0798051178360504;32,1695108825622%;0,316004666857178;0,0150478412789132;
0,3;0,25;139;1;0,068439099634448;29,5997271777311%;0,211549873343409;0,0100738034925433;
0,05;0,15;955;3;0,0568524368034719;20,9190579050303%;0,228086157653587;0,0108612456025517;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0614386378714464;18,0895912548063%;0,267435249234589;0,0127350118683138;
;;;1;0,0636187281183435;18,4397697284538%;0,284794527599841;0,013561644171421;
;;;1;0,069870155062914;24,4103065027591%;0,296299514086564;0,0141095006707888;
;;;1;0,0672876329408138;21,9115743371762%;0,286813827349514;0,0136578013023578;
;;;1;0,0594631481268314;15,2665911596402%;0,253284428584943;0,0120611632659497;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;380;1;0,0742230043225098;44,3029827475173%;0,199644370543053;0,00950687478776443;
0,2;0,2;200;1;0,0709861564845588;43,7310599857504%;0,174404971385353;0,00830499863739775;
