LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;385;1;1094,5884;8,42%;123297032,3;1689000,44
0,2;0,2;276;1;1263,9422;9,71%;157068165;2151618,69
0,01;0,3;1280;4;922,5448;7,11%;94758683,28;1298064,15
0,3;0,25;900;3;1196,5665;9,24%;138855659,6;1902132,32
0,05;0,15;495;2;1041,0309;8,00%;114187890,2;1564217,67
;;;Time;MAE;MAPE;SSE;MSE
;;;1;756,9493;5,86%;68318912,1;935875,51
;;;1;760,7586;5,88%;68444533;937596,34
;;;1;748,9341;5,79%;68029288,67;931908,06
;;;1;803,986;6,23%;74960076,28;1026850,36
;;;1;806,1067;6,21%;76329513,81;1045609,77
LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;775;2;82,207;42,98%;623833,26;15215,44
0,2;0,2;587;1;79,8116;46,02%;616219,44;15029,74
0,01;0,3;983;2;92,0726;53,36%;724055,07;17659,87
0,3;0,25;446;1;82,4951;44,51%;646432,59;15766,64
0,05;0,15;869;2;82,6736;43,96%;627843,89;15313,26
0,132;0,2;732;1,6;83,852;46,17%;647676,85;15796,99
;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE
;;;1;94,6959;36,19%;840803,49;20507,4
;;;1;91,8774;44,69%;806381,62;19667,84
;;;1;80,4157;36,62%;677143,95;16515,7
;;;1;86,2267;28,85%;820528,6;20012,89
;;;1;91,2902;35,09%;809244,62;19737,67
LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;548;1;36,2915;57,62%;122752,03;2993,95
0,2;0,2;473;1;39,0146;63,02%;140305,03;3422,07
0,01;0,3;1074;2;43,4446;88,20%;146472,56;3572,5
0,3;0,25;341;1;37,4868;55,44%;146484,95;3572,8
0,05;0,15;1110;2;36,52;62,54%;117239,95;2859,51
0,132;0,2;709,2;1,4;38,5515;65,36%;134650,9;3284,17
;;;;;;;
;;N;Time;MAE;MAPE;SSE;MSE
;;1;1;34,3972;50,43%;120402,33;2936,64
;;2;1;36,1182;53,34%;143930,34;3510,49
;;3;1;39,5011;44,26%;158241,24;3859,54
;;4;1;32,4192;43,53%;111289,17;2714,37
;;5;1;36,3866;55,30%;133598,53;3258,5
;;AVR;1;35,7645;49,37%;133492,32;3255,91
;;;;;;;
LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;362;1;236,6216;94,07%;3715527,29;77406,81
0,2;0,2;429;1;234,216;91,92%;3599631,88;74992,33
0,01;0,3;24;1;258,4078;103,98%;4396656,28;91597
0,3;0,25;431;1;233,9264;90,58%;3560322,23;74173,37
0,05;0,15;449;1;240,3674;95,72%;3805894,58;79289,47
0,132;0,2;339;1;240,7078;95,25%;3815606,45;79491,8
;;;;;;;
;;N;Time;MAE;MAPE;SSE;MSE
;;1;1;193,6798;61,08%;3338745,05;69557,18
;;2;1;194,8904;62,76%;3104871,52;64684,82
;;3;1;199,9266;62,53%;3541368,35;73778,5
;;4;1;198,2138;66,18%;3056398,33;63674,96
;;5;1;199,8251;64,78%;3401711,9;70868,99
;;AVR;1;197,3071;63,47%;3288619,03;68512,89
;;;;;;;
LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;214;15;200,4948;139,86%;56657916,96;70822,39
0,2;0,2;382;25;201,2318;145,59%;56403892,47;70504,86
0,01;0,3;214;15;198,5993;145,54%;56024800,53;70031
0,3;0,25;179;11;200,8681;141,68%;56062043,04;70077,55
0,05;0,15;165;11;199,4877;141,96%;56472982,82;70591,22
0,132;0,2;230,8;15,4;200,1363;142,93%;56324327,16;70405,4
;;;;;;;
;;N;Time;MAE;MAPE;SSE;MSE
;;1;14;212,1259;151,88%;71591823,91;89489,77
;;2;15;208,0452;152,82%;67564588,5;84455,73
;;3;14;204,0717;146,68%;66099347,62;82624,18
;;4;14;210,2465;161,37%;65821501,2;82276,87
;;5;14;208,924;151,81%;68125601,61;85157
;;AVR;14,2;208,6827;152,91%;67840572,57;84800,71
